year,region,country,co2,ghg,population,gdp
2000,Americas,Argentina,141.717,366.34,36871000.0,557000000000.0
2001,Americas,Argentina,133.311,383.27,37276000.0,525000000000.0
2002,Americas,Argentina,124.382,386.17,37682000.0,453000000000.0
2003,Americas,Argentina,134.621,408.49,38088000.0,487000000000.0
2004,Americas,Argentina,157.034,436.71,38492000.0,532000000000.0
2005,Americas,Argentina,161.425,428.51,38893000.0,584000000000.0
2006,Americas,Argentina,174.618,462.74,39290000.0,631000000000.0
2007,Americas,Argentina,174.233,465.58,39684000.0,694000000000.0
2008,Americas,Argentina,188.041,482.38,40080000.0,741000000000.0
2009,Americas,Argentina,178.86700000000002,469.51,40483000.0,692000000000.0
2010,Americas,Argentina,186.672,451.7,40896000.0,772000000000.0
2011,Americas,Argentina,190.237,460.12,41320000.0,836000000000.0
2012,Americas,Argentina,191.715,478.03,41755000.0,838000000000.0
2013,Americas,Argentina,192.275,466.52,42196000.0,847000000000.0
2014,Americas,Argentina,194.43099999999998,467.82,42638000.0,818000000000.0
2015,Americas,Argentina,199.859,470.55,43075000.0,840000000000.0
2016,Americas,Argentina,200.03900000000002,482.08,43508000.0,820000000000.0
2000,East Asia & Pacific,Australia,350.195,608.16,18991000.0,680000000000.0
2001,East Asia & Pacific,Australia,357.66900000000004,700.99,19195000.0,694000000000.0
2002,East Asia & Pacific,Australia,362.209,688.48,19401000.0,724000000000.0
2003,East Asia & Pacific,Australia,369.726,620.39,19624000.0,742000000000.0
2004,East Asia & Pacific,Australia,383.205,664.4,19880000.0,773000000000.0
2005,East Asia & Pacific,Australia,386.515,622.46,20179000.0,826000000000.0
2006,East Asia & Pacific,Australia,392.68199999999996,637.39,20526000.0,842000000000.0
2007,East Asia & Pacific,Australia,400.415,628.77,20916000.0,877000000000.0
2008,East Asia & Pacific,Australia,405.04900000000004,597.42,21332000.0,932000000000.0
2009,East Asia & Pacific,Australia,408.345,617.92,21751000.0,927000000000.0
2010,East Asia & Pacific,Australia,406.426,579.14,22155000.0,994000000000.0
2011,East Asia & Pacific,Australia,404.264,617.79,22538000.0,1030000000000.0
2012,East Asia & Pacific,Australia,406.98699999999997,617.86,22904000.0,1020000000000.0
2013,East Asia & Pacific,Australia,398.05199999999996,529.26,23255000.0,1010000000000.0
2014,East Asia & Pacific,Australia,393.289,537.95,23596000.0,1020000000000.0
2015,East Asia & Pacific,Australia,402.538,536.33,23932000.0,1050000000000.0
2016,East Asia & Pacific,Australia,413.157,519.09,24263000.0,1070000000000.0
2000,Europe & Central Asia,Austria,66.313,66.22,8069000.0,288000000000.0
2001,Europe & Central Asia,Austria,70.275,75.32,8098000.0,283000000000.0
2002,Europe & Central Asia,Austria,72.124,77.0,8134000.0,292000000000.0
2003,Europe & Central Asia,Austria,77.79899999999999,82.93,8176000.0,293000000000.0
2004,Europe & Central Asia,Austria,77.921,82.53,8217000.0,303000000000.0
2005,Europe & Central Asia,Austria,79.395,82.42,8254000.0,312000000000.0
2006,Europe & Central Asia,Austria,77.061,82.82,8285000.0,325000000000.0
2007,Europe & Central Asia,Austria,74.469,80.37,8314000.0,337000000000.0
2008,Europe & Central Asia,Austria,73.727,80.16,8342000.0,342000000000.0
2009,Europe & Central Asia,Austria,67.72399999999999,72.87,8373000.0,336000000000.0
2010,Europe & Central Asia,Austria,72.22800000000001,78.38,8410000.0,341000000000.0
2011,Europe & Central Asia,Austria,70.143,75.85,8454000.0,350000000000.0
2012,Europe & Central Asia,Austria,67.577,73.2,8502000.0,365000000000.0
2013,Europe & Central Asia,Austria,68.161,73.79,8556000.0,368000000000.0
2014,Europe & Central Asia,Austria,64.467,70.16,8615000.0,386000000000.0
2015,Europe & Central Asia,Austria,66.733,71.49,8679000.0,389000000000.0
2016,Europe & Central Asia,Austria,67.315,71.85,8747000.0,395000000000.0
2000,Europe & Central Asia,Belarus,55.463,66.68,9872000.0,86161956864.0
2001,Europe & Central Asia,Belarus,55.56399999999999,58.02,9811000.0,83450003456.0
2002,Europe & Central Asia,Belarus,55.681999999999995,64.65,9746000.0,85045567488.0
2003,Europe & Central Asia,Belarus,57.118,60.28,9679000.0,89551101952.0
2004,Europe & Central Asia,Belarus,60.773,61.44,9617000.0,96194560000.0
2005,Europe & Central Asia,Belarus,62.056000000000004,62.51,9562000.0,101000000000.0
2006,Europe & Central Asia,Belarus,64.868,58.37,9517000.0,113000000000.0
2007,Europe & Central Asia,Belarus,64.271,55.54,9481000.0,124000000000.0
2008,Europe & Central Asia,Belarus,66.417,59.68,9453000.0,144000000000.0
2009,Europe & Central Asia,Belarus,61.961999999999996,57.12,9433000.0,141000000000.0
2010,Europe & Central Asia,Belarus,63.883,61.38,9421000.0,155000000000.0
2011,Europe & Central Asia,Belarus,62.823,84.51,9415000.0,173000000000.0
2012,Europe & Central Asia,Belarus,63.707,88.33,9417000.0,179000000000.0
2013,Europe & Central Asia,Belarus,64.462,87.04,9424000.0,188000000000.0
2014,Europe & Central Asia,Belarus,63.794,88.04,9432000.0,193000000000.0
2015,Europe & Central Asia,Belarus,59.291000000000004,84.2,9439000.0,185000000000.0
2016,Europe & Central Asia,Belarus,60.942,80.7,9446000.0,180000000000.0
2000,Europe & Central Asia,Belgium,126.76899999999999,134.84,10282000.0,343000000000.0
2001,Europe & Central Asia,Belgium,126.12,135.09,10319000.0,343000000000.0
2002,Europe & Central Asia,Belgium,126.305,127.83,10365000.0,358000000000.0
2003,Europe & Central Asia,Belgium,127.806,131.3,10419000.0,356000000000.0
2004,Europe & Central Asia,Belgium,128.83,129.95,10480000.0,361000000000.0
2005,Europe & Central Asia,Belgium,125.52,125.9,10547000.0,370000000000.0
2006,Europe & Central Asia,Belgium,123.833,123.68,10619000.0,370000000000.0
2007,Europe & Central Asia,Belgium,120.445,119.45,10698000.0,382000000000.0
2008,Europe & Central Asia,Belgium,120.352,121.29,10779000.0,392000000000.0
2009,Europe & Central Asia,Belgium,107.699,114.36,10860000.0,402000000000.0
2010,Europe & Central Asia,Belgium,113.814,121.56,10939000.0,420000000000.0
2011,Europe & Central Asia,Belgium,104.319,109.55,11014000.0,419000000000.0
2012,Europe & Central Asia,Belgium,101.515,108.86,11085000.0,430000000000.0
2013,Europe & Central Asia,Belgium,101.579,109.67,11154000.0,438000000000.0
2014,Europe & Central Asia,Belgium,95.906,103.62,11221000.0,437000000000.0
2015,Europe & Central Asia,Belgium,99.75299999999999,108.55,11288000.0,443000000000.0
2016,Europe & Central Asia,Belgium,98.42200000000001,107.35,11354000.0,448000000000.0
2000,Americas,Brazil,324.226,1646.96,174790000.0,1470000000000.0
2001,Americas,Brazil,332.98699999999997,1899.73,177196000.0,1460000000000.0
2002,Americas,Brazil,327.435,1945.01,179538000.0,1480000000000.0
2003,Americas,Brazil,317.508,1958.83,181808992.0,1480000000000.0
2004,Americas,Brazil,333.675,2005.24,184006000.0,1560000000000.0
2005,Americas,Brazil,342.086,2015.48,186127008.0,1630000000000.0
2006,Americas,Brazil,341.94599999999997,1420.95,188167008.0,1770000000000.0
2007,Americas,Brazil,356.91900000000004,1466.13,190130000.0,1970000000000.0
2008,Americas,Brazil,380.345,1454.36,192030000.0,2210000000000.0
2009,Americas,Brazil,360.091,1433.19,193887008.0,2300000000000.0
2010,Americas,Brazil,411.24,1540.26,195714000.0,2660000000000.0
2011,Americas,Brazil,429.959,1307.81,197515008.0,2970000000000.0
2012,Americas,Brazil,460.098,1353.14,199287008.0,2960000000000.0
2013,Americas,Brazil,495.04699999999997,1368.38,201036000.0,3040000000000.0
2014,Americas,Brazil,523.894,1413.43,202764000.0,3040000000000.0
2015,Americas,Brazil,495.214,1409.94,204472000.0,3180000000000.0
2016,Americas,Brazil,454.195,1379.38,206163008.0,2810000000000.0
2000,Europe & Central Asia,Bulgaria,45.211000000000006,46.38,7998000.0,68578938880.0
2001,Europe & Central Asia,Bulgaria,48.923,46.64,7931000.0,71572488192.0
2002,Europe & Central Asia,Bulgaria,46.167,43.61,7866000.0,75092246528.0
2003,Europe & Central Asia,Bulgaria,50.416000000000004,48.42,7804000.0,76743450624.0
2004,Europe & Central Asia,Bulgaria,49.507,47.14,7745000.0,80431669248.0
2005,Europe & Central Asia,Bulgaria,50.591,47.22,7687000.0,84497326080.0
2006,Europe & Central Asia,Bulgaria,51.826,51.14,7631000.0,92283183104.0
2007,Europe & Central Asia,Bulgaria,55.637,55.52,7577000.0,103000000000.0
2008,Europe & Central Asia,Bulgaria,53.974,53.01,7524000.0,110000000000.0
2009,Europe & Central Asia,Bulgaria,45.706,45.61,7474000.0,110000000000.0
2010,Europe & Central Asia,Bulgaria,47.794,47.27,7425000.0,111000000000.0
2011,Europe & Central Asia,Bulgaria,53.118,53.1,7379000.0,111000000000.0
2012,Europe & Central Asia,Bulgaria,48.269,47.34,7334000.0,115000000000.0
2013,Europe & Central Asia,Bulgaria,42.566,42.31,7290000.0,116000000000.0
2014,Europe & Central Asia,Bulgaria,45.09,44.78,7246000.0,120000000000.0
2015,Europe & Central Asia,Bulgaria,48.095,47.26,7200000.0,124000000000.0
2016,Europe & Central Asia,Bulgaria,45.258,44.07,7152000.0,128000000000.0
2000,Americas,Canada,571.507,731.3,30588000.0,1150000000000.0
2001,Americas,Canada,564.231,903.03,30880000.0,1150000000000.0
2002,Americas,Canada,570.552,981.57,31178000.0,1170000000000.0
2003,Americas,Canada,587.492,1001.57,31488000.0,1210000000000.0
2004,Americas,Canada,586.469,961.05,31815000.0,1260000000000.0
2005,Americas,Canada,576.859,971.7,32164000.0,1330000000000.0
2006,Americas,Canada,570.811,882.12,32537000.0,1360000000000.0
2007,Americas,Canada,594.732,894.32,32931000.0,1400000000000.0
2008,Americas,Canada,575.4540000000001,877.95,33338000.0,1460000000000.0
2009,Americas,Canada,543.068,800.9,33746000.0,1320000000000.0
2010,Americas,Canada,556.42,884.34,34148000.0,1390000000000.0
2011,Americas,Canada,566.674,756.74,34539000.0,1460000000000.0
2012,Americas,Canada,570.158,791.74,34922000.0,1450000000000.0
2013,Americas,Canada,577.346,857.34,35297000.0,1480000000000.0
2014,Americas,Canada,577.36,819.39,35664000.0,1530000000000.0
2015,Americas,Canada,576.757,861.77,36027000.0,1540000000000.0
2016,Americas,Canada,564.068,779.27,36383000.0,1570000000000.0
2000,Americas,Chile,58.114,59.24,15342000.0,167000000000.0
2001,Americas,Chile,52.576,62.76,15516000.0,167000000000.0
2002,Americas,Chile,54.49,63.71,15684000.0,168000000000.0
2003,Americas,Chile,54.88399999999999,64.63,15850000.0,177000000000.0
2004,Americas,Chile,59.047,70.0,16015000.0,194000000000.0
2005,Americas,Chile,60.946999999999996,70.88,16183000.0,215000000000.0
2006,Americas,Chile,63.972,71.46,16355000.0,253000000000.0
2007,Americas,Chile,70.707,79.86,16530000.0,271000000000.0
2008,Americas,Chile,70.819,84.53,16708000.0,264000000000.0
2009,Americas,Chile,65.92,81.79,16886000.0,269000000000.0
2010,Americas,Chile,71.33,86.46,17063000.0,309000000000.0
2011,Americas,Chile,78.084,-4.72,17234000.0,340000000000.0
2012,Americas,Chile,79.704,-2.62,17400000.0,361000000000.0
2013,Americas,Chile,81.692,0.28,17572000.0,367000000000.0
2014,Americas,Chile,77.415,-5.68,17759000.0,376000000000.0
2015,Americas,Chile,81.626,0.57,17969000.0,385000000000.0
2016,Americas,Chile,84.14299999999999,3.74,18209000.0,391000000000.0
2000,Americas,Colombia,56.25899999999999,286.06,39630000.0,267000000000.0
2001,Americas,Colombia,55.93899999999999,309.04,40256000.0,269000000000.0
2002,Americas,Colombia,55.43,308.21,40875000.0,273000000000.0
2003,Americas,Colombia,57.093999999999994,317.93,41484000.0,282000000000.0
2004,Americas,Colombia,54.568999999999996,319.58,42076000.0,296000000000.0
2005,Americas,Colombia,60.06,316.15,42648000.0,318000000000.0
2006,Americas,Colombia,62.005,310.83,43201000.0,349000000000.0
2007,Americas,Colombia,61.406000000000006,318.81,43738000.0,384000000000.0
2008,Americas,Colombia,67.262,317.54,44255000.0,419000000000.0
2009,Americas,Colombia,72.557,321.64,44750000.0,428000000000.0
2010,Americas,Colombia,76.278,325.72,45223000.0,467000000000.0
2011,Americas,Colombia,76.08,183.9,45663000.0,524000000000.0
2012,Americas,Colombia,79.727,182.28,46076000.0,543000000000.0
2013,Americas,Colombia,91.84299999999999,192.09,46495000.0,559000000000.0
2014,Americas,Colombia,85.71600000000001,200.85,46968000.0,581000000000.0
2015,Americas,Colombia,93.084,199.71,47521000.0,599000000000.0
2016,Americas,Colombia,96.83200000000001,232.0,48175000.0,610000000000.0
2000,Europe & Central Asia,Croatia,19.699,13.76,4428000.0,62891139072.0
2001,Europe & Central Asia,Croatia,20.816999999999997,14.55,4408000.0,63642439680.0
2002,Europe & Central Asia,Croatia,21.925,15.54,4396000.0,66150264832.0
2003,Europe & Central Asia,Croatia,23.278000000000002,16.6,4389000.0,68902117376.0
2004,Europe & Central Asia,Croatia,22.925,16.35,4384000.0,71095967744.0
2005,Europe & Central Asia,Croatia,23.384,16.22,4378000.0,73977069568.0
2006,Europe & Central Asia,Croatia,23.603,19.02,4371000.0,77424394240.0
2007,Europe & Central Asia,Croatia,24.919,20.59,4362000.0,85629665280.0
2008,Europe & Central Asia,Croatia,23.66,19.73,4353000.0,90480205824.0
2009,Europe & Central Asia,Croatia,21.849,17.18,4341000.0,87007707136.0
2010,Europe & Central Asia,Croatia,21.064,16.54,4328000.0,83865575424.0
2011,Europe & Central Asia,Croatia,20.699,22.13,4313000.0,87256449024.0
2012,Europe & Central Asia,Croatia,19.116,20.1,4296000.0,90095968256.0
2013,Europe & Central Asia,Croatia,18.455,19.0,4277000.0,88068751360.0
2014,Europe & Central Asia,Croatia,17.708,18.26,4256000.0,89170362368.0
2015,Europe & Central Asia,Croatia,17.840999999999998,18.85,4233000.0,90623172608.0
2016,Europe & Central Asia,Croatia,18.083,18.94,4209000.0,93290250240.0
2000,Europe & Central Asia,Cyprus,7.127000000000001,8.03,943000.0,20776794112.0
2001,Europe & Central Asia,Cyprus,7.002000000000001,7.92,960000.0,21458608128.0
2002,Europe & Central Asia,Cyprus,7.193,8.09,977000.0,21256992768.0
2003,Europe & Central Asia,Cyprus,7.585,8.78,994000.0,19989295104.0
2004,Europe & Central Asia,Cyprus,7.815,8.74,1010000.0,20515725312.0
2005,Europe & Central Asia,Cyprus,8.003,8.84,1028000.0,21763364864.0
2006,Europe & Central Asia,Cyprus,8.195,8.71,1046000.0,22869377024.0
2007,Europe & Central Asia,Cyprus,8.511000000000001,9.02,1064000.0,23958491136.0
2008,Europe & Central Asia,Cyprus,8.676,9.26,1082000.0,26921664512.0
2009,Europe & Central Asia,Cyprus,8.427,9.05,1098000.0,28517449728.0
2010,Europe & Central Asia,Cyprus,8.062999999999999,8.79,1113000.0,28750800896.0
2011,Europe & Central Asia,Cyprus,7.749,8.58,1125000.0,27271999488.0
2012,Europe & Central Asia,Cyprus,7.2170000000000005,8.05,1135000.0,27581609984.0
2013,Europe & Central Asia,Cyprus,6.537999999999999,7.37,1144000.0,26033086464.0
2014,Europe & Central Asia,Cyprus,6.921,7.8,1152000.0,25381662720.0
2015,Europe & Central Asia,Cyprus,6.946000000000001,7.84,1161000.0,25799387136.0
2016,Europe & Central Asia,Cyprus,7.352,8.26,1170000.0,26539999232.0
2000,Europe & Central Asia,Czech Republic,127.06,131.52,10289000.0,202000000000.0
2001,Europe & Central Asia,Czech Republic,126.95200000000001,131.52,10271000.0,213000000000.0
2002,Europe & Central Asia,Czech Republic,123.889,125.87,10252000.0,214000000000.0
2003,Europe & Central Asia,Czech Republic,127.376,130.25,10239000.0,220000000000.0
2004,Europe & Central Asia,Czech Republic,128.11,130.77,10239000.0,228000000000.0
2005,Europe & Central Asia,Czech Republic,125.671,127.75,10258000.0,237000000000.0
2006,Europe & Central Asia,Czech Republic,126.447,134.24,10299000.0,249000000000.0
2007,Europe & Central Asia,Czech Republic,128.261,137.19,10358000.0,274000000000.0
2008,Europe & Central Asia,Czech Republic,122.97399999999999,132.2,10425000.0,268000000000.0
2009,Europe & Central Asia,Czech Republic,115.22399999999999,124.47,10488000.0,269000000000.0
2010,Europe & Central Asia,Czech Republic,117.46,127.69,10537000.0,268000000000.0
2011,Europe & Central Asia,Czech Republic,115.005,119.39,10567000.0,280000000000.0
2012,Europe & Central Asia,Czech Republic,110.905,116.05,10581000.0,282000000000.0
2013,Europe & Central Asia,Czech Republic,106.37700000000001,110.74,10587000.0,290000000000.0
2014,Europe & Central Asia,Czech Republic,104.015,108.04,10591000.0,306000000000.0
2015,Europe & Central Asia,Czech Republic,104.786,109.9,10601000.0,320000000000.0
2016,Europe & Central Asia,Czech Republic,106.59899999999999,111.77,10619000.0,328000000000.0
2000,Europe & Central Asia,Denmark,54.278999999999996,68.49,5341000.0,192000000000.0
2001,Europe & Central Asia,Denmark,55.867,70.86,5358000.0,192000000000.0
2002,Europe & Central Asia,Denmark,55.53,70.31,5373000.0,196000000000.0
2003,Europe & Central Asia,Denmark,60.615,76.09,5387000.0,192000000000.0
2004,Europe & Central Asia,Denmark,55.068999999999996,69.64,5403000.0,201000000000.0
2005,Europe & Central Asia,Denmark,51.498000000000005,65.83,5422000.0,206000000000.0
2006,Europe & Central Asia,Denmark,59.418,72.86,5444000.0,217000000000.0
2007,Europe & Central Asia,Denmark,54.644,68.03,5470000.0,222000000000.0
2008,Europe & Central Asia,Denmark,51.231,64.62,5498000.0,228000000000.0
2009,Europe & Central Asia,Denmark,48.836999999999996,61.73,5526000.0,224000000000.0
2010,Europe & Central Asia,Denmark,49.169,62.23,5555000.0,236000000000.0
2011,Europe & Central Asia,Denmark,44.211000000000006,55.45,5583000.0,243000000000.0
2012,Europe & Central Asia,Denmark,39.836,50.07,5611000.0,244000000000.0
2013,Europe & Central Asia,Denmark,41.733999999999995,51.59,5638000.0,249000000000.0
2014,Europe & Central Asia,Denmark,37.535,47.33,5664000.0,251000000000.0
2015,Europe & Central Asia,Denmark,35.204,45.05,5689000.0,255000000000.0
2016,Europe & Central Asia,Denmark,37.019,46.66,5711000.0,259000000000.0
2000,Europe & Central Asia,Estonia,15.36,13.55,1399000.0,16247595008.0
2001,Europe & Central Asia,Estonia,15.706,21.37,1392000.0,17008637952.0
2002,Europe & Central Asia,Estonia,15.231,21.33,1383000.0,18237091840.0
2003,Europe & Central Asia,Estonia,17.085,23.01,1373000.0,19056140288.0
2004,Europe & Central Asia,Estonia,17.284000000000002,23.08,1364000.0,20073240576.0
2005,Europe & Central Asia,Estonia,17.132,23.19,1356000.0,22335879168.0
2006,Europe & Central Asia,Estonia,16.435,16.6,1349000.0,24778964992.0
2007,Europe & Central Asia,Estonia,20.067,20.35,1344000.0,27692089344.0
2008,Europe & Central Asia,Estonia,17.871,18.9,1340000.0,27294081024.0
2009,Europe & Central Asia,Estonia,14.61,15.47,1336000.0,25280647168.0
2010,Europe & Central Asia,Estonia,19.016,19.5,1332000.0,25912016896.0
2011,Europe & Central Asia,Estonia,19.098,21.77,1328000.0,28530108416.0
2012,Europe & Central Asia,Estonia,17.936,20.63,1323000.0,30716508160.0
2013,Europe & Central Asia,Estonia,19.698,23.04,1319000.0,31826479104.0
2014,Europe & Central Asia,Estonia,18.904,21.66,1316000.0,32669839360.0
2015,Europe & Central Asia,Estonia,15.890999999999998,19.18,1315000.0,33140150272.0
2016,Europe & Central Asia,Estonia,17.477,20.38,1317000.0,33684649984.0
2000,Europe & Central Asia,Finland,57.038000000000004,44.09,5188000.0,171000000000.0
2001,Europe & Central Asia,Finland,62.536,58.68,5200000.0,173000000000.0
2002,Europe & Central Asia,Finland,65.06,61.06,5213000.0,175000000000.0
2003,Europe & Central Asia,Finland,72.658,69.28,5227000.0,174000000000.0
2004,Europe & Central Asia,Finland,68.961,65.3,5242000.0,183000000000.0
2005,Europe & Central Asia,Finland,57.043,53.06,5259000.0,188000000000.0
2006,Europe & Central Asia,Finland,68.384,60.38,5277000.0,195000000000.0
2007,Europe & Central Asia,Finland,66.76,58.39,5298000.0,210000000000.0
2008,Europe & Central Asia,Finland,58.611999999999995,50.29,5319000.0,214000000000.0
2009,Europe & Central Asia,Finland,55.923,46.69,5342000.0,202000000000.0
2010,Europe & Central Asia,Finland,64.097,54.75,5366000.0,204000000000.0
2011,Europe & Central Asia,Finland,56.57899999999999,72.7,5390000.0,207000000000.0
2012,Europe & Central Asia,Finland,51.222,66.87,5415000.0,210000000000.0
2013,Europe & Central Asia,Finland,51.757,67.44,5439000.0,206000000000.0
2014,Europe & Central Asia,Finland,47.657,63.37,5461000.0,207000000000.0
2015,Europe & Central Asia,Finland,44.123999999999995,60.15,5481000.0,208000000000.0
2016,Europe & Central Asia,Finland,47.24100000000001,63.16,5498000.0,211000000000.0
2000,Europe & Central Asia,France,416.07,474.74,59015000.0,1930000000000.0
2001,Europe & Central Asia,France,420.72,425.19,59384000.0,2010000000000.0
2002,Europe & Central Asia,France,415.93199999999996,417.55,59803000.0,2050000000000.0
2003,Europe & Central Asia,France,422.63300000000004,422.77,60252000.0,1960000000000.0
2004,Europe & Central Asia,France,423.71,419.89,60698000.0,2020000000000.0
2005,Europe & Central Asia,France,427.036,420.5,61120000.0,2110000000000.0
2006,Europe & Central Asia,France,416.07300000000004,434.96,61509000.0,2170000000000.0
2007,Europe & Central Asia,France,405.57099999999997,428.16,61869000.0,2290000000000.0
2008,Europe & Central Asia,France,399.277,422.46,62209000.0,2300000000000.0
2009,Europe & Central Asia,France,382.166,405.18,62543000.0,2280000000000.0
2010,Europe & Central Asia,France,389.834,409.04,62880000.0,2330000000000.0
2011,Europe & Central Asia,France,365.23400000000004,353.48,63222000.0,2390000000000.0
2012,Europe & Central Asia,France,365.845,356.76,63564000.0,2410000000000.0
2013,Europe & Central Asia,France,366.852,357.6,63894000.0,2500000000000.0
2014,Europe & Central Asia,France,335.415,324.66,64194000.0,2530000000000.0
2015,Europe & Central Asia,France,341.106,331.3,64453000.0,2560000000000.0
2016,Europe & Central Asia,France,342.95599999999996,329.6,64668000.0,2600000000000.0
2000,Europe & Central Asia,Germany,900.3760000000001,922.88,81401000.0,2790000000000.0
2001,Europe & Central Asia,Germany,916.913,970.63,81454000.0,2840000000000.0
2002,Europe & Central Asia,Germany,900.387,952.16,81535000.0,2860000000000.0
2003,Europe & Central Asia,Germany,901.409,951.08,81614000.0,2880000000000.0
2004,Europe & Central Asia,Germany,887.4580000000001,931.26,81646000.0,2960000000000.0
2005,Europe & Central Asia,Germany,866.64,906.56,81603000.0,3070000000000.0
2006,Europe & Central Asia,Germany,878.076,918.19,81472000.0,3190000000000.0
2007,Europe & Central Asia,Germany,851.418,888.29,81278000.0,3370000000000.0
2008,Europe & Central Asia,Germany,853.7710000000001,892.66,81066000.0,3390000000000.0
2009,Europe & Central Asia,Germany,788.924,834.12,80900000.0,3230000000000.0
2010,Europe & Central Asia,Germany,832.388,864.72,80827000.0,3370000000000.0
2011,Europe & Central Asia,Germany,809.7489999999999,812.51,80856000.0,3520000000000.0
2012,Europe & Central Asia,Germany,814.138,826.22,80973000.0,3530000000000.0
2013,Europe & Central Asia,Germany,831.57,844.05,81174000.0,3650000000000.0
2014,Europe & Central Asia,Germany,792.793,803.72,81450000.0,3780000000000.0
2015,Europe & Central Asia,Germany,795.94,808.91,81787000.0,3850000000000.0
2016,Europe & Central Asia,Germany,801.655,808.73,82194000.0,3920000000000.0
2000,Europe & Central Asia,Greece,102.98200000000001,117.2,11082000.0,248000000000.0
2001,Europe & Central Asia,Greece,105.369,117.94,11134000.0,262000000000.0
2002,Europe & Central Asia,Greece,105.01100000000001,118.13,11182000.0,279000000000.0
2003,Europe & Central Asia,Greece,109.083,121.38,11219000.0,278000000000.0
2004,Europe & Central Asia,Greece,109.53,121.21,11235000.0,289000000000.0
2005,Europe & Central Asia,Greece,113.925,123.28,11225000.0,282000000000.0
2006,Europe & Central Asia,Greece,112.465,121.59,11185000.0,303000000000.0
2007,Europe & Central Asia,Greece,114.583,125.14,11120000.0,311000000000.0
2008,Europe & Central Asia,Greece,111.113,121.42,11040000.0,322000000000.0
2009,Europe & Central Asia,Greece,104.34100000000001,114.19,10959000.0,320000000000.0
2010,Europe & Central Asia,Greece,97.34299999999999,107.44,10888000.0,300000000000.0
2011,Europe & Central Asia,Greece,94.53200000000001,105.11,10829000.0,269000000000.0
2012,Europe & Central Asia,Greece,91.41799999999999,99.91,10781000.0,262000000000.0
2013,Europe & Central Asia,Greece,81.723,92.29,10741000.0,270000000000.0
2014,Europe & Central Asia,Greece,78.65,89.11,10701000.0,264000000000.0
2015,Europe & Central Asia,Greece,74.959,87.32,10660000.0,264000000000.0
2016,Europe & Central Asia,Greece,71.367,86.36,10615000.0,264000000000.0
2000,Europe & Central Asia,Hungary,58.56,72.66,10221000.0,151000000000.0
2001,Europe & Central Asia,Hungary,60.176,76.65,10193000.0,162000000000.0
2002,Europe & Central Asia,Hungary,59.178999999999995,74.68,10167000.0,172000000000.0
2003,Europe & Central Asia,Hungary,61.952,77.62,10141000.0,173000000000.0
2004,Europe & Central Asia,Hungary,60.424,76.42,10114000.0,172000000000.0
2005,Europe & Central Asia,Hungary,60.51,75.39,10086000.0,178000000000.0
2006,Europe & Central Asia,Hungary,59.85,72.57,10056000.0,184000000000.0
2007,Europe & Central Asia,Hungary,58.553000000000004,70.43,10024000.0,188000000000.0
2008,Europe & Central Asia,Hungary,57.455,69.01,9992000.0,195000000000.0
2009,Europe & Central Asia,Hungary,51.801,63.05,9959000.0,198000000000.0
2010,Europe & Central Asia,Hungary,52.138000000000005,62.94,9927000.0,204000000000.0
2011,Europe & Central Asia,Hungary,50.376000000000005,63.48,9896000.0,208000000000.0
2012,Europe & Central Asia,Hungary,46.83,59.71,9864000.0,208000000000.0
2013,Europe & Central Asia,Hungary,43.78,57.16,9834000.0,216000000000.0
2014,Europe & Central Asia,Hungary,43.925,57.69,9805000.0,225000000000.0
2015,Europe & Central Asia,Hungary,46.677,60.53,9778000.0,232000000000.0
2016,Europe & Central Asia,Hungary,47.43,61.28,9753000.0,236000000000.0
2000,South Asia,India,1029.638,1664.02,1056576000.0,2020000000000.0
2001,South Asia,India,1035.64,1569.36,1075000064.0,2140000000000.0
2002,South Asia,India,1047.596,1591.5,1093316992.0,2270000000000.0
2003,South Asia,India,1091.873,1634.28,1111522944.0,2490000000000.0
2004,South Asia,India,1145.545,1728.85,1129623040.0,2690000000000.0
2005,South Asia,India,1210.146,1803.32,1147609984.0,3050000000000.0
2006,South Asia,India,1287.149,1936.95,1165485952.0,3390000000000.0
2007,South Asia,India,1390.253,2078.82,1183208960.0,3750000000000.0
2008,South Asia,India,1547.991,2170.72,1200669952.0,4290000000000.0
2009,South Asia,India,1720.121,2355.66,1217725952.0,4560000000000.0
2010,South Asia,India,1700.027,2457.76,1234280960.0,5110000000000.0
2011,South Asia,India,1811.961,2800.43,1250288000.0,5680000000000.0
2012,South Asia,India,1979.047,2943.69,1265779968.0,6000000000000.0
2013,South Asia,India,1994.101,2994.46,1280841984.0,6170000000000.0
2014,South Asia,India,2199.4,3163.7,1295601024.0,6570000000000.0
